;Especie;Registros;GBIF;CBC;Reino;Filo;Clase;Orden;Familia;Género
1660;Deprea nubicola;6;https://www.gbif.org/species/3798366;NA;Plantae;Tracheophyta;Magnoliopsida;Solanales;Solanaceae;Deprea
1661;Deprea teresitae;2;https://www.gbif.org/species/10733152;NA;Plantae;Tracheophyta;Magnoliopsida;Solanales;Solanaceae;Deprea
1662;Desmoncus interjectus;6;https://www.gbif.org/species/8030439;NA;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Desmoncus
1663;Diasporus anthrax;75;https://www.gbif.org/species/2424016;https://catalogo.biodiversidad.co/file/56d4aef53c16479905cba8a5/summary;Animalia;Chordata;Amphibia;Anura;Eleutherodactylidae;Diasporus
1664;Diasporus tinker;255;https://www.gbif.org/species/2424008;NA;Animalia;Chordata;Amphibia;Anura;Eleutherodactylidae;Diasporus
1665;Diastema kalbreyeri;4;https://www.gbif.org/species/5590602;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Gesneriaceae;Diastema
1666;Diastema vexans;6;https://www.gbif.org/species/5590357;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Gesneriaceae;Diastema
1667;Dichaea caquetana;2;https://www.gbif.org/species/2789960;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dichaea
1668;Dichaea lehmannii;4;https://www.gbif.org/species/2789935;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dichaea
1669;Dichaea selaginella;1;https://www.gbif.org/species/2789927;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dichaea
1670;Dichapetalum bernalii;16;https://www.gbif.org/species/4195957;https://catalogo.biodiversidad.co/file/566f08fbf289f5a40c0cd272/summary;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Dichapetalaceae;Dichapetalum
1671;Dichapetalum foreroi;12;https://www.gbif.org/species/4196134;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Dichapetalaceae;Dichapetalum
1672;Dichondra evolvulacea;22;https://www.gbif.org/species/8741190;NA;Plantae;Tracheophyta;Magnoliopsida;Solanales;Convolvulaceae;Dichondra
1673;Dicliptera batilliformis;2;https://www.gbif.org/species/5576126;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1674;Dicliptera caucensis;25;https://www.gbif.org/species/5575978;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1675;Dicliptera cleistogama;5;https://www.gbif.org/species/5575945;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1676;Dicliptera compacta;39;https://www.gbif.org/species/5575915;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1677;Dicliptera cuatrecasasii;2;https://www.gbif.org/species/5575890;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1678;Dicliptera cundinamarcana;11;https://www.gbif.org/species/5575883;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1679;Dicliptera felix;7;https://www.gbif.org/species/5575830;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1680;Dicliptera garciae;6;https://www.gbif.org/species/5575788;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1681;Dicliptera haughtii;20;https://www.gbif.org/species/5575723;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1682;Dicliptera megalochlamys;4;https://www.gbif.org/species/5575436;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1683;Dicliptera ochrochlamys;5;https://www.gbif.org/species/5575293;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1684;Dicliptera sanctae-martae;25;https://www.gbif.org/species/5575091;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1685;Dicliptera saxicola;9;https://www.gbif.org/species/5575083;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1686;Dicliptera scandens;61;https://www.gbif.org/species/5575078;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1687;Dicliptera trianae;2;https://www.gbif.org/species/5575012;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera
1688;Dicranopygium arusisense;2;https://www.gbif.org/species/2861128;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1689;Dicranopygium atrovirens;1;https://www.gbif.org/species/2861119;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1690;Dicranopygium callithrix;5;https://www.gbif.org/species/2861148;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1691;Dicranopygium dolichostemon;6;https://www.gbif.org/species/2861158;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1692;Dicranopygium fissile;7;https://www.gbif.org/species/2861178;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
