;Especie;Registros;GBIF;CBC;Reino;Filo;Clase;Orden;Familia;Género
4445;Pescatoria whitei;2;https://www.gbif.org/species/2788079;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Pescatoria
4446;Pfaffia miraflorensis;4;https://www.gbif.org/species/7509598;NA;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Pfaffia
4447;Pfaffia patiensis;1;https://www.gbif.org/species/7994140;NA;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Pfaffia
4448;Pfaffia tayronensis;6;https://www.gbif.org/species/8072874;NA;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Pfaffia
4449;Phaedranassa lehmannii;2;https://www.gbif.org/species/2853978;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Amaryllidaceae;Phaedranassa
4450;Phaeographina mesographa;3;https://www.gbif.org/species/3416845;NA;Fungi;Ascomycota;Lecanoromycetes;Ostropales;Graphidaceae;Phaeographina
4451;Phaeographis leucocheila;4;https://www.gbif.org/species/3418619;NA;Fungi;Ascomycota;Lecanoromycetes;Ostropales;Graphidaceae;Phaeographis
4452;Phaeographis lindigiana;14;https://www.gbif.org/species/2601638;NA;Fungi;Ascomycota;Lecanoromycetes;Ostropales;Graphidaceae;Phaeographis
4453;Phaeographis paratypa;1;https://www.gbif.org/species/8844974;NA;Fungi;Ascomycota;Lecanoromycetes;Ostropales;Graphidaceae;Phaeographis
4454;Pharneuptychia estoraquensis;10;https://www.gbif.org/species/10600132;NA;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Pharneuptychia
4455;Phenacorhamdia macarenensis;5;https://www.gbif.org/species/2343516;https://catalogo.biodiversidad.co/file/59d2a6085f369343442f960a/summary;Animalia;Chordata;NA;Siluriformes;Heptapteridae;Phenacorhamdia
4456;Phenax grossecrenatus;29;https://www.gbif.org/species/5670365;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Phenax
4457;Philodendron alonsoae;1;https://www.gbif.org/species/9418856;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4458;Philodendron amargalense;9;https://www.gbif.org/species/2871085;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4459;Philodendron baudoense;36;https://www.gbif.org/species/5950146;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4460;Philodendron bogotense;4;https://www.gbif.org/species/2870724;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4461;Philodendron brandii;2;https://www.gbif.org/species/2870688;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4462;Philodendron canicaule;56;https://www.gbif.org/species/5950134;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4463;Philodendron caranoense;6;https://www.gbif.org/species/9339403;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4464;Philodendron cardonii;5;https://www.gbif.org/species/6310063;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4465;Philodendron chrysocarpum;41;https://www.gbif.org/species/5950144;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4466;Philodendron craspedodromum;3;https://www.gbif.org/species/2871234;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4467;Philodendron discretivenium;33;https://www.gbif.org/species/5950136;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4468;Philodendron dryanderae;78;https://www.gbif.org/species/5950138;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4469;Philodendron edwinii;7;https://www.gbif.org/species/7758438;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4470;Philodendron elegans;68;https://www.gbif.org/species/2870777;https://catalogo.biodiversidad.co/file/56e3e64b83c45700544e3e0f/summary;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4471;Philodendron erubescens;33;https://www.gbif.org/species/2871297;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4472;Philodendron furcatum;17;https://www.gbif.org/species/5950139;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4473;Philodendron genevieveanum;6;https://www.gbif.org/species/9479433;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4474;Philodendron gloriosum;72;https://www.gbif.org/species/2870786;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4475;Philodendron graveolens;4;https://www.gbif.org/species/2870638;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4476;Philodendron heterocraspedon;48;https://www.gbif.org/species/5950143;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4477;Philodendron hiberisiccans;10;https://www.gbif.org/species/7362383;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4478;Philodendron laticiferum;22;https://www.gbif.org/species/2870943;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4479;Philodendron lehmannii;22;https://www.gbif.org/species/2871342;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4480;Philodendron leyvae;41;https://www.gbif.org/species/2871284;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4481;Philodendron longipes;58;https://www.gbif.org/species/2870896;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4482;Philodendron longirrhizum;235;https://www.gbif.org/species/2871045;https://catalogo.biodiversidad.co/file/5fe0e0dda1cbeda25bdad8e4/summary;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4483;Philodendron macarenense;3;https://www.gbif.org/species/9253732;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4484;Philodendron marcocorreanum;10;https://www.gbif.org/species/9274814;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4485;Philodendron mcphersonii;2;https://www.gbif.org/species/6310057;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4486;Philodendron melanochrysum;18;https://www.gbif.org/species/2871241;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4487;Philodendron merenbergense;8;https://www.gbif.org/species/6310058;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4488;Philodendron monsalveae;72;https://www.gbif.org/species/5950147;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4489;Philodendron montanum;65;https://www.gbif.org/species/2870854;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4490;Philodendron multispadiceum;32;https://www.gbif.org/species/2870788;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4491;Philodendron ninoanum;55;https://www.gbif.org/species/5950149;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4492;Philodendron patriciae;46;https://www.gbif.org/species/6310060;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4493;Philodendron pipolyi;21;https://www.gbif.org/species/6310069;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4494;Philodendron polliciforme;58;https://www.gbif.org/species/5950142;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4495;Philodendron prominulinervium;25;https://www.gbif.org/species/6310053;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4496;Philodendron puhuangii;4;https://www.gbif.org/species/6310054;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4497;Philodendron rhodospathiphyllum;23;https://www.gbif.org/species/5950135;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4498;Philodendron ricaurtense;1;https://www.gbif.org/species/9278492;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4499;Philodendron romeroi;13;https://www.gbif.org/species/2871120;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4500;Philodendron rubromaculatum;2;https://www.gbif.org/species/5950151;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4501;Philodendron silverstonei;11;https://www.gbif.org/species/6310068;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4502;Philodendron striatum;49;https://www.gbif.org/species/5950150;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4503;Philodendron suberosum;59;https://www.gbif.org/species/5950140;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4504;Philodendron tricostatum;53;https://www.gbif.org/species/5950148;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4505;Philodendron trojitense;15;https://www.gbif.org/species/5950145;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4506;Philodendron urraoense;3;https://www.gbif.org/species/6310067;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4507;Philodendron venulosum;37;https://www.gbif.org/species/5950152;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4508;Philodendron woronowii;4;https://www.gbif.org/species/2870841;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Philodendron
4509;Phlegmariurus cleefianus;3;https://www.gbif.org/species/7814663;NA;Plantae;Tracheophyta;Lycopodiopsida;Lycopodiales;Lycopodiaceae;Phlegmariurus
4510;Phlegmariurus dianae;20;https://www.gbif.org/species/7631375;NA;Plantae;Tracheophyta;Lycopodiopsida;Lycopodiales;Lycopodiaceae;Phlegmariurus
4511;Phlegmariurus echinatus;38;https://www.gbif.org/species/8399878;NA;Plantae;Tracheophyta;Lycopodiopsida;Lycopodiales;Lycopodiaceae;Phlegmariurus
4512;Phlegmariurus eremorum;2;https://www.gbif.org/species/7889067;NA;Plantae;Tracheophyta;Lycopodiopsida;Lycopodiales;Lycopodiaceae;Phlegmariurus
4513;Phlegmariurus lignosus;30;https://www.gbif.org/species/7922656;NA;Plantae;Tracheophyta;Lycopodiopsida;Lycopodiales;Lycopodiaceae;Phlegmariurus
4514;Phlegmariurus pachyskelos;1;https://www.gbif.org/species/9680612;NA;Plantae;Tracheophyta;Lycopodiopsida;Lycopodiales;Lycopodiaceae;Phlegmariurus
4515;Phlegmariurus schlimii;10;https://www.gbif.org/species/7798289;NA;Plantae;Tracheophyta;Lycopodiopsida;Lycopodiales;Lycopodiaceae;Phlegmariurus
4516;Phlegmariurus schmidtchenii;6;https://www.gbif.org/species/8350914;NA;Plantae;Tracheophyta;Lycopodiopsida;Lycopodiales;Lycopodiaceae;Phlegmariurus
4517;Phlegmariurus ulixis;12;https://www.gbif.org/species/8133944;NA;Plantae;Tracheophyta;Lycopodiopsida;Lycopodiales;Lycopodiaceae;Phlegmariurus
4518;Phocides urania;6;https://www.gbif.org/species/1947588;NA;Animalia;Arthropoda;Insecta;Lepidoptera;Hesperiidae;Phocides
4519;Pholidostachys sanluisensis;10;https://www.gbif.org/species/7731539;https://catalogo.biodiversidad.co/file/567093f7f289f5a40c0cd2ff/summary;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Pholidostachys
4520;Phoradendron antioquianum;4;https://www.gbif.org/species/4068398;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4521;Phoradendron apertiflorum;4;https://www.gbif.org/species/4068390;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4522;Phoradendron betancurii;8;https://www.gbif.org/species/4069457;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4523;Phoradendron briquetianum;1;https://www.gbif.org/species/4069259;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4524;Phoradendron buritacanum;3;https://www.gbif.org/species/4069216;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4525;Phoradendron crassicarpum;17;https://www.gbif.org/species/4068490;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4526;Phoradendron fonsecanum;2;https://www.gbif.org/species/4068772;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4527;Phoradendron gracilicarpum;2;https://www.gbif.org/species/4068496;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4528;Phoradendron heterostachyum;3;https://www.gbif.org/species/4069568;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4529;Phoradendron killipii;2;https://www.gbif.org/species/4069181;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4530;Phoradendron longissimum;1;https://www.gbif.org/species/4068674;https://catalogo.biodiversidad.co/file/566f17baf289f5a40c0cd277/summary;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4531;Phoradendron megaphyllum;1;https://www.gbif.org/species/4068353;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4532;Phoradendron palaephyllum;9;https://www.gbif.org/species/4069099;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4533;Phoradendron roldanii;1;https://www.gbif.org/species/4069638;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4534;Phoradendron squamiferum;2;https://www.gbif.org/species/4068916;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4535;Phoradendron uniseriale;13;https://www.gbif.org/species/4069582;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Phoradendron
4536;Photinus bogotensis;5;https://www.gbif.org/species/7796136;NA;Animalia;Arthropoda;Insecta;Coleoptera;Lampyridae;Photinus
4537;Phragmipedium schlimii;66;https://www.gbif.org/species/2814274;https://catalogo.biodiversidad.co/file/56e8302283c45700544e4367/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Phragmipedium
4538;Phragmotheca fuchsii;13;https://www.gbif.org/species/8378339;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Phragmotheca
4539;Phragmotheca hydra;2;https://www.gbif.org/species/7453395;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Phragmotheca
4540;Phragmotheca lemniscata;16;https://www.gbif.org/species/8278190;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Phragmotheca
4541;Phragmotheca mambitana;21;https://www.gbif.org/species/7429921;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Phragmotheca
4542;Phragmotheca rubriflora;9;https://www.gbif.org/species/5663106;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Phragmotheca
4543;Phyllanoa colombiana;4;https://www.gbif.org/species/3916965;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Violaceae;Phyllanoa
4544;Phyllanthus callejasii;10;https://www.gbif.org/species/5381843;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Phyllanthus
4545;Phyllanthus cuatrecasasianus;2;https://www.gbif.org/species/10858237;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Phyllanthus
4546;Phyllanthus popayanensis;36;https://www.gbif.org/species/5382437;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Phyllanthus
4547;Phyllanthus ruscifolius;41;https://www.gbif.org/species/5381271;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Phyllanthus
4548;Phyllanthus valleanus;94;https://www.gbif.org/species/5382519;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Phyllanthus
4549;Phyllanthus vichadensis;4;https://www.gbif.org/species/5382178;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Phyllanthus
4550;Phyllobates aurotaenia;397;https://www.gbif.org/species/5218021;NA;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Phyllobates
4551;Phyllobates bicolor;239;https://www.gbif.org/species/5218019;https://catalogo.biodiversidad.co/file/56cbd673207ecea54a561e0e/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Phyllobates
4552;Phyllobates terribilis;771;https://www.gbif.org/species/5218020;https://catalogo.biodiversidad.co/file/56ca62e8f0106c67230e745a/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Phyllobates
4553;Phylloscartes lanyoni;869;https://www.gbif.org/species/2483200;https://catalogo.biodiversidad.co/file/61d91aa0182759fd365693d6/summary;Animalia;Chordata;Aves;Passeriformes;Tyrannidae;Phylloscartes
4554;Picramnia apetala;10;https://www.gbif.org/species/3708726;NA;Plantae;Tracheophyta;Magnoliopsida;Picramniales;Picramniaceae;Picramnia
4555;Picumnus granadensis;13351;https://www.gbif.org/species/5228793;NA;Animalia;Chordata;Aves;Piciformes;Picidae;Picumnus
4556;Pilea apiculata;22;https://www.gbif.org/species/5669819;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Pilea
4557;Pilea argentea;3;https://www.gbif.org/species/5669752;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Pilea
4558;Pilea cuprea;14;https://www.gbif.org/species/5670554;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Pilea
4559;Pilea discolor;9;https://www.gbif.org/species/5670370;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Pilea
4560;Pilea entradana;6;https://www.gbif.org/species/5670185;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Pilea
4561;Pilea foreroi;11;https://www.gbif.org/species/5670023;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Pilea
4562;Pilea goudotiana;124;https://www.gbif.org/species/5669793;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Pilea
4563;Pilea lippioides;40;https://www.gbif.org/species/5670768;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Pilea
4564;Pilea pennellii;13;https://www.gbif.org/species/5669659;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Pilea
4565;Pilea purpurea;5;https://www.gbif.org/species/5671023;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Pilea
4566;Pilea salentana;42;https://www.gbif.org/species/5670651;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Pilea
4567;Pilostyles boyacensis;3;https://www.gbif.org/species/7568327;NA;Plantae;Tracheophyta;Magnoliopsida;Cucurbitales;Apodanthaceae;Pilostyles
4568;Pimelodella conquetaensis;16;https://www.gbif.org/species/2343495;https://catalogo.biodiversidad.co/file/59d4388b5f369343442fa88e/summary;Animalia;Chordata;NA;Siluriformes;Heptapteridae;Pimelodella
4569;Pimelodella eutaenia;87;https://www.gbif.org/species/2343458;https://catalogo.biodiversidad.co/file/59efe7165f3693434430ebdf/summary;Animalia;Chordata;NA;Siluriformes;Heptapteridae;Pimelodella
4570;Pimelodella figueroai;27;https://www.gbif.org/species/2343440;https://catalogo.biodiversidad.co/file/59d2a8575f369343442f9660/summary;Animalia;Chordata;NA;Siluriformes;Heptapteridae;Pimelodella
4571;Pimelodella floridablancaensis;187;https://www.gbif.org/species/9622431;https://catalogo.biodiversidad.co/file/59dea8055f36934344301929/summary;Animalia;Chordata;NA;Siluriformes;Heptapteridae;Pimelodella
4572;Pimelodella macrocephala;156;https://www.gbif.org/species/2343422;https://catalogo.biodiversidad.co/file/59dfa3e95f3693434430247a/summary;Animalia;Chordata;NA;Siluriformes;Heptapteridae;Pimelodella
4573;Pimelodella reyesi;12;https://www.gbif.org/species/2343480;https://catalogo.biodiversidad.co/file/59e29a385f36934344304fa5/summary;Animalia;Chordata;NA;Siluriformes;Heptapteridae;Pimelodella
4574;Pimelodella yaharo;8;https://www.gbif.org/species/10724589;NA;Animalia;Chordata;NA;Siluriformes;Heptapteridae;Pimelodella
4575;Pimelodus crypticus;24;https://www.gbif.org/species/9357284;https://catalogo.biodiversidad.co/file/59dfedc95f369343443027f8/summary;Animalia;Chordata;NA;Siluriformes;Pimelodidae;Pimelodus
4576;Pimelodus garciabarrigai;32;https://www.gbif.org/species/2338889;https://catalogo.biodiversidad.co/file/59d2cbbd5f369343442f9722/summary;Animalia;Chordata;NA;Siluriformes;Pimelodidae;Pimelodus
4577;Pimelodus grosskopfii;20306;https://www.gbif.org/species/2338918;https://catalogo.biodiversidad.co/file/596f48c82f4fd7bc7f3a5417/summary;Animalia;Chordata;NA;Siluriformes;Pimelodidae;Pimelodus
4578;Pimelodus yuma;3889;https://www.gbif.org/species/9365112;https://catalogo.biodiversidad.co/file/59e143155f3693434430369c/summary;Animalia;Chordata;NA;Siluriformes;Pimelodidae;Pimelodus
4579;Piper achotense;7;https://www.gbif.org/species/4187544;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4580;Piper albanense;9;https://www.gbif.org/species/4186342;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4581;Piper albidum;2;https://www.gbif.org/species/4186206;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4582;Piper amoenum;21;https://www.gbif.org/species/4185668;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4583;Piper androgynum;7;https://www.gbif.org/species/4185349;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4584;Piper annulatispicum;22;https://www.gbif.org/species/4184980;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4585;Piper antioquiense;46;https://www.gbif.org/species/7304947;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4586;Piper araquei;11;https://www.gbif.org/species/4184516;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4587;Piper archeri;112;https://www.gbif.org/species/4184154;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4588;Piper asperulibaccum;10;https://www.gbif.org/species/7306036;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4589;Piper atrobaccum;25;https://www.gbif.org/species/7306011;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4590;Piper bajanum;10;https://www.gbif.org/species/4190132;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4591;Piper barbosanum;6;https://www.gbif.org/species/4189747;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4592;Piper barcoense;1;https://www.gbif.org/species/4189680;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4593;Piper barkleyi;24;https://www.gbif.org/species/4189658;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4594;Piper bellum;9;https://www.gbif.org/species/4189303;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4595;Piper boissierianum;6;https://www.gbif.org/species/4188631;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4596;Piper boquianum;17;https://www.gbif.org/species/4188447;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4597;Piper brisasense;52;https://www.gbif.org/species/4187633;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4598;Piper bullulatum;19;https://www.gbif.org/species/4187406;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4599;Piper caballetense;10;https://www.gbif.org/species/7971891;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4600;Piper cajambrense;17;https://www.gbif.org/species/7305376;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4601;Piper calanyanum;138;https://www.gbif.org/species/7305368;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4602;Piper capillipes;22;https://www.gbif.org/species/7305195;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4603;Piper caquetanum;3;https://www.gbif.org/species/4186063;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4604;Piper carizalanum;6;https://www.gbif.org/species/4185813;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4605;Piper carlosii;3;https://www.gbif.org/species/4185798;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4606;Piper catripense;11;https://www.gbif.org/species/4185252;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4607;Piper cejanum;13;https://www.gbif.org/species/4185015;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4608;Piper centroense;12;https://www.gbif.org/species/4184846;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4609;Piper certeguiense;4;https://www.gbif.org/species/4184593;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4610;Piper chiadoense;25;https://www.gbif.org/species/4184317;https://catalogo.biodiversidad.co/file/5fee10d197dda0c814346e24/summary;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4611;Piper chuarense;21;https://www.gbif.org/species/4184013;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4612;Piper cisnerosense;58;https://www.gbif.org/species/4183577;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4613;Piper colligatispicum;11;https://www.gbif.org/species/4190905;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4614;Piper condotoense;47;https://www.gbif.org/species/4190483;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4615;Piper confertinodum;103;https://www.gbif.org/species/4190457;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4616;Piper copacabanense;4;https://www.gbif.org/species/4190117;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4617;Piper corei;5;https://www.gbif.org/species/8145766;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4618;Piper cristalinanum;14;https://www.gbif.org/species/4189110;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4619;Piper cumaralense;59;https://www.gbif.org/species/4188759;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4620;Piper curvinervium;6;https://www.gbif.org/species/4188406;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4621;Piper cyprium;29;https://www.gbif.org/species/4188170;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4622;Piper daniel-gonzalezii;109;https://www.gbif.org/species/7305510;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
4623;Piper diffamatum;19;https://www.gbif.org/species/7305370;NA;Plantae;Tracheophyta;Magnoliopsida;Piperales;Piperaceae;Piper
